t_id	chr	strand	start	end	t_name	num_exons	length	---	gene_name	cov	FPKM
54	2L	-	9839	21376	FBtr0078166	9	5155	P08111	l(2)gl	0.000000	0.000000
55	2L	-	9839	21376	FBtr0078167	9	5230	P08111	l(2)gl	1.366175	1.983681
56	2L	-	9839	21376	FBtr0078168	9	5225	P08111	l(2)gl	0.000000	0.000000
57	2L	-	9839	21376	FBtr0078169	10	5082	P08111	l(2)gl	0.000000	0.000000
58	2L	-	9839	21376	FBtr0306589	10	5315	P08111	l(2)gl	0.000000	0.000000
59	2L	-	9839	21376	FBtr0306590	9	5179	P08111	l(2)gl	0.000000	0.000000
60	2L	-	9839	21376	FBtr0306591	10	5390	P08111	l(2)gl	24.620602	35.749012
61	2L	-	9839	21376	FBtr0306592	11	5528	P08111	l(2)gl	0.011237	0.016316
62	2L	-	9839	21376	FBtr0330655	9	5281	P08111	l(2)gl	0.754783	1.095942
63	2L	-	21823	25155	FBtr0113008	5	2629	Q9VPI2	Ir21a	0.000000	0.000000
64	2L	+	21952	24237	FBtr0309810	2	2230	---	CR43609	0.000000	0.000000
65	2L	-	25402	59268	FBtr0078163	13	4350	---	Cda5	0.000000	0.000000
66	2L	-	25402	59268	FBtr0078164	14	7227	---	Cda5	0.016695	0.024241
67	2L	-	25402	59268	FBtr0113416	13	4347	---	Cda5	0.000000	0.000000
68	2L	-	25402	59268	FBtr0309225	11	6150	---	Cda5	0.000000	0.000000
69	2L	-	25402	59268	FBtr0309227	12	3917	---	Cda5	0.000000	0.000000
70	2L	-	25402	59268	FBtr0309228	14	7266	---	Cda5	0.999084	1.450666
71	2L	-	25402	59268	FBtr0309229	15	7005	---	Cda5	0.000000	0.000000
72	2L	-	25402	65404	FBtr0309226	14	6583	---	Cda5	0.000000	0.000000
73	2L	+	65999	66242	FBtr0345732	1	244	---	CR45339	0.000000	0.000000
74	2L	+	66318	66524	FBtr0345733	1	207	---	CR45340	0.000000	0.000000
75	2L	+	66482	71390	FBtr0306539	7	4153	---	dbr	0.000000	0.000000
76	2L	+	67043	71081	FBtr0306536	5	3731	---	dbr	4.205039	6.105700
77	2L	+	67043	71081	FBtr0306538	6	3454	---	dbr	0.000000	0.000000
78	2L	+	67043	71390	FBtr0078100	5	4040	---	dbr	3.883416	5.638704
79	2L	+	67043	71390	FBtr0306537	6	3789	---	dbr	0.000000	0.000000
80	2L	-	71039	73836	FBtr0344052	1	2798	---	CR44987	0.251071	0.364554
81	2L	-	71039	73836	FBtr0344053	2	2686	---	CR44987	0.000000	0.000000
82	2L	+	71757	76211	FBtr0306540	4	1430	---	galectin	0.000000	0.000000
83	2L	+	72387	76211	FBtr0078101	3	1841	---	galectin	0.000000	0.000000
84	2L	+	73485	76211	FBtr0302164	3	1458	---	galectin	0.000000	0.000000
85	2L	+	73485	76211	FBtr0331680	4	1536	---	galectin	0.520833	0.756247
86	2L	+	74129	76211	FBtr0301733	3	1694	---	galectin	0.000000	0.000000
87	2L	+	76348	77783	FBtr0306541	2	1378	---	CG11374	0.000000	0.000000
88	2L	-	82421	87387	FBtr0290323	2	2225	---	net	9.077753	13.180860
89	2L	-	82984	87387	FBtr0330637	2	1662	---	net	0.804152	1.167625
90	2L	+	94739	102086	FBtr0078103	12	6476	---	Zir	11.791624	17.121389
91	2L	+	102380	104142	FBtr0078104	3	1583	---	CG11377	2.051982	2.979469
92	2L	+	102380	104142	FBtr0330636	3	1221	---	CG11377	4.594358	6.670989
93	2L	-	103962	106732	FBtr0301452	5	2551	---	Nhe1	1.762232	2.558753
94	2L	+	106903	114432	FBtr0089437	8	2387	P40320	Sam-S	0.000000	0.000000
95	2L	+	107761	111337	FBtr0308091	4	961	P40320	Sam-S	0.041623	0.060436
96	2L	+	107761	114210	FBtr0089428	8	2184	P40320	Sam-S	8.613569	12.506867
97	2L	+	107761	114432	FBtr0089429	7	2293	P40320	Sam-S	0.000000	0.000000
98	2L	+	107761	114432	FBtr0330656	6	2298	P40320	Sam-S	0.000000	0.000000
99	2L	+	107937	114210	FBtr0089432	7	2283	P40320	Sam-S	40.914761	59.408062
